,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH688126,SH601916,SZ301269,SH601818,SH688008,SZ300274,SH601988,SH688256,SH600584,SH688041,SZ000333,SZ300251,SZ300782,SH601618,SH601012,SH601398,SH600018,SZ002459,SH601995,SH601169,SZ000617,SH600547,SH601390,SZ300661,SH600346,SH600803,SZ002709,SZ300498,SZ002252,SH601186,-0.012820112518966198,-0.017907083,0.4666666666666667,-0.01375344585229953,0.9862465541477005,0.9820929,0.9862465541477005,0.0
1,2026-06-04,SH688303,SH688256,SH601916,SZ301269,SH688126,SZ300274,SZ002459,SH601012,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH600346,SZ000977,SH600426,SZ000938,SH601985,SZ300347,SZ000975,SZ300661,SH600674,SH600803,SH601169,SH601857,SH601689,SH603260,-0.022622425109148026,-0.021441102,0.43333333333333335,-0.023489091775814694,0.9630805183237441,0.9610358,0.9862465541477005,-0.02348909177581474
2,2026-06-05,SH600426,SZ300274,SH601916,SZ301269,SH688223,SH601988,SH601818,SZ002938,SH600919,SH601398,SH600346,SH600018,SH600011,SH600900,SH688506,SZ000333,SH601012,SZ000938,SH600989,SZ000977,SZ000617,SZ300347,SZ300316,SH600584,SZ002475,SH601939,SZ002601,SZ002459,SH601236,SH601328,0.02090434543788433,0.018705249,0.4666666666666667,0.019971012104550996,0.9823142110128449,0.9790122,0.9862465541477005,-0.003987180607443387
3,2026-06-08,SZ002466,SZ300347,SH600183,SZ300394,SZ002460,SZ300408,SZ000975,SH600011,SZ300782,SH688008,SH601916,SH688041,SZ300274,SZ000792,SH601012,SH600426,SH688223,SH600919,SH601818,SH600346,SZ301269,SH601939,SH601988,SZ000617,SH603392,SZ300418,SH600584,SZ002459,SH603986,SH688012,-0.0031967381946742535,-0.011083305,0.43333333333333335,-0.00406340486134092,0.978322670672451,0.9681615,0.9862465541477005,-0.008034383939720953
4,2026-06-09,SZ002466,SZ300782,SH600346,SH600989,SH600426,SZ300347,SZ002460,SZ301269,SH688041,SH600919,SZ000617,SH601818,SZ002601,SH601939,SH600900,SZ300308,SZ000333,SH600000,SH601166,SH601988,SZ000975,SH688008,SH601328,SH603392,SH600377,SZ000661,SH600026,SH600372,SZ300413,SH601916,-0.0036102095618844032,-0.005513251,0.5,-0.004610209561884403,0.9738123981415087,0.9628238,0.9862465541477005,-0.012607553307942566
5,2026-06-10,SZ300347,SH601012,SZ300394,SZ002459,SH688506,SH688223,SZ300308,SZ300433,SZ000338,SZ300782,SH600919,SH601916,SH601818,SH600989,SH600426,SH688047,SZ000975,SH600584,SH600346,SZ301269,SH600438,SH603392,SZ000617,SH688256,SZ300274,SH601328,SH600188,SH600036,SZ000333,SZ300408,0.005589077714830637,0.011627674,0.4666666666666667,0.004655744381497304,0.9783462197427885,0.9740192,0.9862465541477005,-0.008010506471923091
6,2026-06-11,SZ300347,SZ300394,SZ300308,SH600919,SZ000725,SZ300782,SZ000338,SZ002463,SH601328,SH601818,SH600900,SH688223,SZ002384,SH601916,SZ000333,SH600026,SZ300408,SH601658,SH601169,SZ000001,SH600875,SH600036,SH688506,SH600016,SZ000617,SH601166,SZ300759,SZ002460,SH601816,SH600346,0.02576294168829918,0.023944378,0.4666666666666667,0.024829608354965844,1.0026381732145633,0.9973415,1.0026381732145633,0.0
7,2026-06-12,SZ300782,SZ300394,SZ000725,SZ300347,SH600426,SZ300433,SH600346,SZ002938,SH600584,SH600900,SH688506,SH601916,SH601818,SZ300502,SZ300442,SH600919,SZ002466,SZ300418,SH601658,SZ300408,SH600016,SH688223,SZ000999,SZ300803,SZ000001,SZ000333,SZ000876,SH601985,SH600845,SH601838,0.001451389049179852,-0.0015291572,0.6,0.0002513890491798521,1.002890225471599,0.9958164,1.002890225471599,0.0
8,2026-06-15,SZ300782,SZ300347,SH601916,SH600989,SH601818,SH600900,SH600018,SH601985,SH600188,SH600016,SH600919,SH601169,SH603993,SH605117,SH600015,SH601668,SH603260,SH688472,SZ300803,SH601012,SH601838,SH601939,SH688223,SH600036,SH601688,SH601877,SZ000001,SH603392,SH600887,SZ000977,-0.003572901012375951,0.009655595,0.5666666666666667,-0.004706234345709284,0.9981703890475084,1.0054317,1.002890225471599,-0.00470623434570929
9,2026-06-16,SH600026,SZ300347,SH600188,SH600989,SH601916,SH601985,SH601012,SZ002459,SZ300498,SH600547,SH601818,SH603260,SH600900,SZ000617,SH600845,SH600426,SH688047,SH688169,SZ000661,SH600372,SH600036,SZ300122,SH601169,SZ000876,SH600066,SZ000975,SZ000999,SH600016,SH601766,SH601838,-0.019805043935775757,0.002070427,0.4,-0.020605043935775755,0.9776030443257941,1.0075133,1.002890225471599,-0.025214306116019644
10,2026-06-17,SH600026,SZ300347,SH600188,SH600426,SH688223,SH601012,SH688472,SH601916,SZ000975,SH600547,SZ300782,SH600845,SZ300442,SH603392,SZ000617,SH688169,SZ300251,SZ301269,SZ002459,SH601985,SH601117,SH600989,SH688009,SZ000661,SH601818,SZ000100,SH601169,SH601877,SH600900,SH601360,0.01882978156208992,0.023890972,0.4,0.01802978156208992,0.9952290136694224,1.0315838,1.002890225471599,-0.0076391329854411496
11,2026-06-18,SZ300418,SH600188,SH688223,SH601012,SZ300782,SZ300347,SZ300251,SH688472,SZ000975,SH600893,SH600426,SZ002459,SH600547,SH688256,SH600989,SH600438,SZ300274,SH600346,SZ000617,SH603392,SH600845,SH688009,SH600570,SH601985,SH601916,SH600233,SZ300015,SH600875,SZ300122,SZ000002,-0.026249758899211884,-0.027723253,0.5333333333333333,-0.02731642556587855,0.9680429143965189,1.0029849,1.002890225471599,-0.034746884743735044
12,2026-06-22,SZ300033,SZ300347,SH600426,SH600346,SZ300803,SH600026,SZ300059,SZ300418,SZ002625,SH600030,SZ300782,SZ300014,SH688472,SH601066,SH600893,SZ002601,SH600188,SH600989,SZ000617,SH601916,SZ000807,SH688223,SZ000786,SH600547,SZ000876,SZ002001,SH601238,SH600919,SH601985,SZ301269,-0.0010793149704113603,0.0048035383,0.6666666666666666,-0.0024126483037446933,0.9657073673011481,1.0078027,1.002890225471599,-0.03707570103494228
13,2026-06-23,SZ000975,SZ002938,SH600426,SH600188,SH600547,SH688223,SZ300408,SH601600,SZ000876,SH600845,SZ002625,SH603392,SZ300413,SH688506,SZ000661,SH600030,SH688169,SH603260,SZ000630,SH600183,SH688472,SZ002459,SZ002463,SH601916,SH600989,SH600489,SZ001979,SH601127,SZ002920,SH688009,0.005587444640696049,0.015593648,0.4,0.004787444640696048,0.9703306378612148,1.0235181,1.002890225471599,-0.032465754260465975
14,2026-06-24,SH688223,SZ300408,SH600845,SZ000975,SH600547,SH688472,SH600188,SZ000786,SH600183,SZ000630,SH603260,SZ002415,SZ002625,SH600438,SH603259,SZ000876,SH601600,SH601916,SH600875,SZ300759,SZ002938,SH601877,SH600741,SH601607,SZ300251,SH600233,SZ002920,SH600426,SH600803,SH600489,-0.028215380385518074,-0.030254364,0.4666666666666667,-0.02914871371885141,0.9420467478855677,0.9925522,1.002890225471599,-0.06066813300271246
15,2026-06-25,SZ002920,SZ000975,SH600188,SZ300408,SH601898,SH600547,SH601600,SH600989,SZ300782,SH600845,SH601901,SH688223,SH600233,SZ000876,SZ001979,SZ000807,SZ000630,SH603392,SH603260,SH688472,SZ300033,SZ300803,SH600809,SZ002625,SH600011,SH688009,SH600875,SH601916,SH601238,SZ000338,0.004773646593093872,0.012057781,0.5,0.003773646593093872,0.9456016993862614,1.0045202,1.002890225471599,-0.05712342650303355
16,2026-06-26,SZ000975,SH600183,SZ300782,SH688223,SH600875,SZ300408,SZ000807,SZ002384,SZ002625,SZ000630,SH603260,SH603019,SZ000338,SH600482,SZ300661,SZ300759,SZ300418,SH600845,SH600489,SZ300308,SH601698,SH600938,SZ301236,SH688472,SH601898,SH601995,SH600362,SH600188,SZ002028,SH601600,0.013922198675572872,0.010657787,0.5,0.012922198675572871,0.95782095241369,1.0152261,1.002890225471599,-0.044939388093762314
17,2026-06-30,SH601872,SH600026,SH601898,SZ000975,SH601689,SZ000338,SH600183,SZ002625,SZ300433,SZ000807,SH600188,SH601600,SH600989,SH600803,SZ300782,SH600489,SH600845,SH600938,SZ001979,SH600219,SH600426,SZ000876,SH600482,SZ000786,SH603260,SH600066,SH600875,SH603392,SZ300442,SH600547,-0.006023373920470476,-0.029578567,0.4666666666666667,-0.006956707253803809,0.9511576724461884,0.9851972,1.002890225471599,-0.05158346518043275
18,2026-07-01,SH600183,SZ300274,SH601872,SH600026,SH600522,SZ000876,SH603392,SH688082,SH600426,SZ300394,SH600438,SZ300442,SH601898,SZ300433,SZ002384,SZ300033,SH688223,SH601600,SZ002938,SZ000975,SZ300308,SZ000807,SH601336,SH600188,SH600938,SH600176,SZ000338,SZ002459,SZ002601,SH600845,0.016376376152038574,0.00620687,0.5333333333333333,0.015309709485371907,0.965719620086122,0.9913122,1.002890225471599,-0.037063483561222174
19,2026-07-02,SH603986,SH600522,SZ300433,SH688082,SH600183,SH600584,SZ300408,SZ301269,SH688041,SH688012,SH601872,SZ000975,SZ002384,SH603501,SZ300316,SZ300418,SH600026,SZ300274,SZ300502,SH600176,SZ002625,SZ000338,SH688256,SZ300394,SZ002049,SH688472,SH601600,SZ002074,SH688223,SH688981,-0.004453623201698065,-3.504753e-05,0.43333333333333335,-0.005320289868364731,0.9605817117756967,0.99127746,1.002890225471599,-0.04218658495350986
20,2026-07-03,SH600460,SH600584,SH688396,SH603986,SZ300408,SH688126,SH600160,SZ300394,SZ002920,SZ002384,SH688008,SZ301269,SH688082,SZ002625,SH600183,SZ000338,SH688012,SZ300316,SZ002371,SH600522,SZ002028,SZ300274,SZ000975,SH601872,SZ002050,SZ002938,SZ300476,SH603392,SH603260,SH601600,-0.006253896281123161,-0.010272622,0.5666666666666667,-0.007387229614456495,0.953485674107362,0.9810944,1.002890225471599,-0.04926217257826504
21,2026-07-10,SZ300274,SZ300408,SH600176,SH603986,SZ002625,SZ002709,SH600160,SZ300661,SZ000807,SZ002422,SZ300476,SH600460,SH688396,SZ300433,SZ002371,SZ000725,SH600938,SH600522,SH600026,SZ000975,SH603260,SH601985,SZ002241,SH600900,SZ000100,SH688111,SH601658,SZ300316,SH600111,SZ001979,0.022870905697345734,0.021535993,0.5666666666666667,0.0217375723640124,0.9742121379463198,1.0022233,1.002890225471599,-0.028595440255481247
22,2026-07-14,SH688072,SH688396,SH688012,SZ002532,SZ300408,SH601600,SH603986,SZ300274,SZ300433,SH600188,SH688521,SH688082,SZ300316,SZ300394,SZ002625,SH600460,SZ301308,SZ000807,SZ002600,SH603799,SZ000975,SZ002709,SZ300442,SZ300476,SH600219,SZ301165,SH600547,SZ002028,SH600489,SH600176,-0.036583032459020615,-0.018457115,0.5333333333333333,-0.03764969912568728,0.9375333440680483,0.98372513,1.002890225471599,-0.06516852965918304
23,2026-07-17,SZ300394,SZ300408,SZ000977,SZ300476,SH688126,SZ300661,SZ300308,SH688012,SZ002916,SZ300433,SZ000938,SH688396,SZ301165,SZ300316,SH688082,SH600176,SZ002371,SH688981,SH600584,SH600460,SH603893,SZ000651,SH688256,SZ000725,SH600522,SZ300442,SH688008,SH600886,SZ300274,SH688521,0.091196708381176,0.030643702,0.43333333333333335,0.09033004171450933,1.0222207701464587,1.0138701,1.0222207701464587,0.0
