,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH688126,SH601916,SZ301269,SH601818,SH688008,SZ300274,SH601988,SH688256,SH600584,SH688041,SZ000333,SZ300251,SZ300782,SH601618,SH601012,SH601398,SH600018,SZ002459,SH601995,SH601169,-0.016135644167661667,-0.017907083,0.4,-0.016935644167661665,0.9830643558323383,0.9820929,0.9830643558323383,0.0
1,2026-06-04,SH688303,SH688256,SH601916,SZ301269,SH688126,SZ300274,SZ002459,SH601012,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH600346,SZ000977,SH600426,SZ000938,-0.02280682697892189,-0.021441102,0.25,-0.02330682697892189,0.9601522449818087,0.9610358,0.9830643558323383,-0.023306826978921856
2,2026-06-05,SH600426,SZ300274,SH601916,SZ301269,SH688223,SH601988,SH601818,SZ002938,SH600919,SH601398,SH600346,SH600018,SH600011,SH600900,SH688506,SZ000333,SH601012,SZ000938,SH600989,SZ000977,0.011766279116272926,0.018705249,0.55,0.010666279116272926,0.9703934968209007,0.9790122,0.9830643558323383,-0.012889144984520854
3,2026-06-08,SZ002466,SZ300347,SH600183,SZ300394,SZ002460,SZ300408,SZ000975,SH600011,SZ300782,SH688008,SH601916,SH688041,SZ300274,SZ000792,SH601012,SH600426,SH688223,SH600919,SH601818,SH600346,-0.00529880216345191,-0.011083305,0.55,-0.00639880216345191,0.9641841408140435,0.9681615,0.9830643558323383,-0.019205472059160757
4,2026-06-09,SZ002466,SZ300782,SH600346,SH600989,SH600426,SZ300347,SZ002460,SZ301269,SH688041,SH600919,SZ000617,SH601818,SZ002601,SH601939,SH600900,SZ300308,SZ000333,SH600000,SH601166,SH601988,0.0021163374185562134,-0.005513251,0.55,0.0010163374185562133,0.9651640772347312,0.9628238,0.9830643558323383,-0.018208653880499373
5,2026-06-10,SZ300347,SH601012,SZ300394,SZ002459,SH688506,SH688223,SZ300308,SZ300433,SZ000338,SZ300782,SH600919,SH601916,SH601818,SH600989,SH600426,SH688047,SZ000975,SH600584,SH600346,SZ301269,0.008207321166992188,0.011627674,0.55,0.007107321166992187,0.972023808310482,0.9740192,0.9830643558323383,-0.011230747464654607
6,2026-06-11,SZ300347,SZ300394,SZ300308,SH600919,SZ000725,SZ300782,SZ000338,SZ002463,SH601328,SH601818,SH600900,SH688223,SZ002384,SH601916,SZ000333,SH600026,SZ300408,SH601658,SH601169,SZ000001,0.03438493236899376,0.023944378,0.5,0.03338493236899376,1.0044747574119792,0.9973415,1.0044747574119792,0.0
7,2026-06-12,SZ300782,SZ300394,SZ000725,SZ300347,SH600426,SZ300433,SH600346,SZ002938,SH600584,SH600900,SH688506,SH601916,SH601818,SZ300502,SZ300442,SH600919,SZ002466,SZ300418,SH601658,SZ300408,0.00455948431044817,-0.0015291572,0.7,0.0031594843104481695,1.0076483796482636,0.9958164,1.0076483796482636,0.0
8,2026-06-15,SZ300782,SZ300347,SH601916,SH600989,SH601818,SH600900,SH600018,SH601985,SH600188,SH600016,SH600919,SH601169,SH603993,SH605117,SH600015,SH601668,SH603260,SH688472,SZ300803,SH601012,-0.002160128904506564,0.009655595,0.55,-0.0032601289045065644,1.004363316040193,1.0054317,1.0076483796482636,-0.0032601289045066264
9,2026-06-16,SH600026,SZ300347,SH600188,SH600989,SH601916,SH601985,SH601012,SZ002459,SZ300498,SH600547,SH601818,SH603260,SH600900,SZ000617,SH600845,SH600426,SH688047,SH688169,SZ000661,SH600372,-0.01631280407309532,0.002070427,0.4,-0.01711280407309532,0.9871758433945929,1.0075133,1.0076483796482636,-0.020317143030406118
