,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH601916,SH601818,SH601988,SZ000333,SH601618,SH601398,SH600018,SH601995,SH601169,SH601186,SH600016,SH600919,SH600905,SH601939,SH601838,SZ000651,SH601059,SH601881,SH600900,SH600887,0.004546952433884144,-0.017907083,0.3,0.003946952433884144,1.0039469524338842,0.9820929,1.0039469524338842,0.0
1,2026-06-04,SH601916,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH601985,SH600674,SH601169,SH600887,SH601939,SZ000651,SZ000776,SH601328,SZ000100,SH600016,SZ000001,-0.004413384012877941,-0.021441102,0.3,-0.005013384012877941,0.9989137808327746,0.9610358,1.0039469524338842,-0.005013384012877984
2,2026-06-05,SH601916,SH601988,SH601818,SH600919,SH601398,SH600018,SH600900,SZ000333,SH601939,SH601236,SH601328,SH600377,SZ000651,SH600887,SH601377,SH600660,SH600015,SZ000001,SH600016,SH601166,0.002226355718448758,0.018705249,0.2,0.0018263557184487582,1.0007381527286359,0.9790122,1.0039469524338842,-0.003196184516989868
3,2026-06-08,SH601916,SH600919,SH601818,SH601939,SH601988,SH601166,SH601169,SH600900,SZ000333,SH601398,SH601088,SH601328,SH600377,SH600015,SH600018,SH600036,SZ000001,SH600016,SH601658,SH600887,0.010648176074028015,-0.011083305,0.15,0.010348176074028015,1.0110939673370694,0.9681615,1.0110939673370694,0.0
4,2026-06-09,SH600919,SH601818,SH601939,SH600900,SZ000333,SH601166,SH601988,SH601328,SH600377,SH601916,SH600036,SZ000001,SH601658,SH600016,SH601225,SH601816,SH601169,SH600018,SH600887,SH601668,-0.000906139612197876,-0.005513251,0.2,-0.001306139612197876,1.0097733374546762,0.9628238,1.0110939673370694,-0.0013061396121977465
5,2026-06-10,SH600919,SH601916,SH601818,SH601328,SH600036,SZ000333,SH601166,SZ000001,SH600900,SH601838,SH601398,SH601816,SH601939,SH600015,SH600377,SH601169,SH601988,SH600000,SH600016,SH601658,0.012355002574622631,0.011627674,0.15,0.012055002574622631,1.0219461576374778,0.9740192,1.0219461576374778,0.0
6,2026-06-11,SH600919,SH601328,SH601818,SH600900,SH601916,SZ000333,SH601658,SH601169,SZ000001,SH600036,SH600016,SH601166,SH601816,SH601838,SH601298,SZ002142,SH601009,SH601398,SH600015,SH600000,-0.01579471305012703,0.023944378,0.25,-0.01629471305012703,1.0052938382460952,0.9973415,1.0219461576374778,-0.01629471305012701
7,2026-06-12,SH600900,SH601916,SH601818,SH600919,SH601658,SH600016,SZ000001,SZ000333,SH601985,SH601838,SH601939,SH601169,SH600036,SH600015,SH601328,SH601298,SH601668,SH600018,SH601816,SH600674,-0.014777702279388905,-0.0015291572,0.2,-0.015177702279388904,0.9900357876658918,0.9958164,1.0219461576374778,-0.03122509902611299
8,2026-06-15,SH601916,SH601818,SH600900,SH600018,SH601985,SH600016,SH600919,SH601169,SH600015,SH601668,SH601838,SH601939,SH600036,SH601688,SZ000001,SH600887,SH601988,SH601658,SH601607,SH601328,-0.0061282990500330925,0.009655595,0.3,-0.006728299050033092,0.9833745308162406,1.0054317,1.0219461576374778,-0.037743306272031554
9,2026-06-16,SH601916,SH601985,SH601818,SH600900,SH600036,SH601169,SH600016,SH601766,SH601838,SH601229,SZ000001,SH601668,SH600015,SH601186,SH600919,SH600018,SH601328,SH601166,SH600674,SH601377,-0.0245148204267025,0.002070427,0.2,-0.0249148204267025,0.9588739309687612,1.0075133,1.0219461576374778,-0.061717759000656326
